#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	Consensus Lineage
ZOTU1	27794	29089	24165	14216	92450	73450	11078	15206	17997	10744	22097	20731	58864	33201	72318	6851	10159	8816	77549	129236	81776	295793	153839	162847	120994	82761	71017	77	15	191	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__
ZOTU3	99818	8639	72275	40153	13605	10599	69216	50602	62838	48302	56800	60849	20901	10771	20707	62513	80511	94446	33176	1660	30605	5000	2638	3065	29252	24228	33341	23155	21640	57503	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__uncultured_bacterium
ZOTU123	701	488	195	131	907	689	1306	1119	1286	210	208	341	990	617	910	212	213	345	33	13	43	112	61	78	106	65	54	645	690	441	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcaceae_UCG-002; s__uncultured_bacterium
ZOTU18	2489	4877	1873	1132	8434	6831	3051	3511	4314	1494	2123	2202	12182	5503	10152	1952	2011	2777	1018	838	1539	3927	1887	2546	2278	2182	2032	8829	7798	8820	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_bacterium
ZOTU38	18337	2972	14228	11969	2333	2200	16356	14218	20324	8519	14803	14227	3730	1697	3375	10948	13254	16536	97	131	81	100	54	46	3038	85	81	10060	9962	11220	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
ZOTU4	13093	3594	13004	8672	5935	4599	9776	12688	13791	6785	9973	8393	7226	4256	10377	2836	3016	4007	6	13	8	23	2	10	6	2	3	8085	7004	18	 k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__
ZOTU6	24874	25	56655	40070	24	8	1215	8	10	23520	56073	39641	47	18	14	40013	73534	69780	119418	135054	9053	321	18	39	1	27	24	8	5	19	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__; s__
ZOTU32	4874	227	2556	1046	300	229	7564	2678	7200	1675	1648	3256	569	279	512	1951	2282	2839	38	16	34	49	36	36	83	50	52	1391	1447	1084	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU345	397	23	176	168	13	10	435	558	683	134	165	265	55	17	21	157	161	268	0	1	1	0	0	1	7	0	0	13	18	101	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
ZOTU8	4868	1007	3858	2972	2391	1979	5463	9720	8157	1709	2415	1865	3216	1650	3618	2726	3020	3521	28812	19859	33762	5939	2960	3628	24151	44646	37975	2612	2036	10351	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
ZOTU23	8133	2197	16528	11164	116	71	6487	4739	7540	5635	7981	6558	101	45	106	149	313	314	671	3	1280	8	4	6	1	0	0	102	213	718	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
ZOTU2	27525	2431	24980	19941	5348	3832	18496	28955	34041	9513	13472	9275	8559	3671	8397	12383	15392	14851	31128	3691	42580	8093	4167	4893	23219	44616	40701	4075	3438	12290	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
ZOTU482	372	529	751	314	683	506	55	47	54	310	625	471	1650	747	1133	616	1092	749	671	400	787	968	658	522	586	1396	1235	7003	8443	16010	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU5	11834	3338	21641	14090	7409	5491	7409	2593	9268	10341	15552	11698	11725	5354	12300	12762	16721	15581	11869	311	10080	2853	1070	1432	1170	1579	1287	4734	3492	6392	 k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__uncultured_bacterium
ZOTU1316	19	2	8	4	3	5	12	5	15	2	3	8	11	8	2	0	4	2	3	1	4	9	4	5	1	1	1	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU58	2778	904	642	387	1273	782	4503	4784	5491	361	453	494	2809	1185	2079	550	535	782	0	2	1	0	2	0	2	0	1	4090	3391	3	 k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
