Rana pretiosa - SR - 1999
RP3
RP17
RP22c
RP23
RP26
RP193
RP385
RP415
RP461
SFC104
SFC120
SFC134 
pop
SR 1 , 210210 118118 236236 177189 087091 000000 000000 000000 000000 000000 000000 000000
SR 2 , 210210 118118 236236 177189 087091 184184 144144 000000 000000 000000 136136 241241
SR 3 , 210210 118118 236236 185185 087087 000000 156156 169173 000000 000000 136136 241245
SR 4 , 210210 118118 236236 177189 087091 184184 156156 173173 137137 219219 136136 241245
SR 5 , 206210 118118 236236 189189 087091 180184 156156 173173 137137 219219 136136 241245
SR 6 , 210210 118118 236236 189189 087087 184184 156156 173173 137137 219219 136136 241241
SR 7 , 210210 118118 236240 185189 087091 184184 156156 173173 137137 000000 136136 241245
SR 8 , 206210 118118 236236 185189 087091 184184 156156 173173 137137 219219 132132 245245
SR 9 , 206206 118118 236236 177177 087087 000000 156156 169169 000000 000000 136136 000000
SR 10 , 206210 118118 236240 185189 087087 184184 156156 169173 000000 000000 136136 241241
SR 11 , 210210 118118 236240 185189 087091 184184 144156 173173 137137 219219 136136 245249
SR 12 , 162210 118118 236236 185189 087087 180184 156156 169173 137137 219219 136136 241241
SR 13 , 210210 118118 232236 185185 087087 180184 156156 169173 137137 219219 136136 241245
SR 14 , 210214 118118 236236 189189 087087 184184 144156 173173 000000 219219 136136 241245
SR 15 , 206210 118118 232240 185185 087087 000000 156156 000000 000000 000000 136136 241241
SR 16 , 210210 118118 236236 189189 087087 184184 156156 000000 137137 000000 136136 241245
SR 17 , 206210 118118 236236 189189 087087 000000 000000 000000 000000 000000 000000 245245
SR 18 , 162210 118118 232236 185189 087087 000000 000000 000000 000000 000000 000000 241249
SR 19 , 206206 118118 236236 189189 087091 000000 000000 000000 000000 000000 000000 229245
SR 20 , 162210 118118 236240 189189 087087 184184 156156 169173 137137 000000 136136 245245
SR 21 , 162210 118118 236236 185189 087091 184184 156156 169173 137137 219219 136136 241245
SR 22 , 210210 118118 236236 177185 087091 184184 000000 173173 137137 219219 136136 000000
SR 23 , 210210 118118 236236 185189 087087 184184 144156 169173 137137 219219 136136 241245
SR 24 , 206210 118118 232236 189189 087091 184184 144156 169173 137137 219219 136136 241245
SR 25 , 210210 118118 236240 189189 087091 184188 156156 173173 137137 219219 132136 241245
SR 26 , 210210 118118 236236 189189 087087 180184 156156 173173 137137 000000 136136 241245
SR 27 , 210210 118118 236236 177189 091091 184184 156156 169173 137137 219219 136136 241249
SR 28 , 210210 118118 236236 177185 087091 180184 156156 173173 137137 219219 132136 245245
SR 29 , 210210 118118 232236 189189 087087 184184 156156 169173 137137 219219 136136 245245
SR 30 , 210210 118118 236236 189189 087087 184188 144156 169173 137137 219219 136136 229245
SR 31 , 162210 118118 236236 185189 087091 184184 156156 173173 137137 219219 136136 241241
SR 32 , 170206 118118 232236 189189 091091 184184 144156 169173 137137 219219 136136 241241
SR 33 , 210210 118118 232240 189189 087087 184188 144144 173173 137137 219219 136136 241245
SR 34 , 206210 118118 236240 185189 087087 184184 156156 173173 137137 219219 132136 241241
SR 35 , 210210 118118 236240 185185 087087 184184 144156 173173 137137 219219 136136 241245
SR 36 , 000000 118118 236240 177189 087091 184184 144156 169169 137137 219219 132136 245245
SR 37 , 210210 118118 236236 177185 087091 184184 000000 000000 000000 000000 136136 245245
SR 38 , 162206 118118 236236 177185 087091 184184 156156 169173 137137 219219 136136 241241
