Rana pretiosa Dempsey Creek 2006
RP3
RP415
RP22
RP23
RP385
RP193
SFC134
POP
            DC1 , 170170 161169 220220 177181 160160 180184 209221 
           DC10 , 162170 161165 220220 181193 160164 180184 209209 
           DC11 , 170170 161181 220220 181181 172172 180188 221221 
           DC12 , 170170 161161 224228 181193 164172 176184 209209 
           DC13 , 170170 161165 220220 181181 172172 164180 221221 
           DC14 , 170170 000000 220224 181181 160164 180180 209221 
           DC15 , 170170 000000 220224 193193 164172 180188 221221 
           DC16 , 170170 161161 220220 181193 172172 180188 209221 
           DC17 , 170170 161169 220220 181181 160172 164188 221221 
           DC18 , 170170 161181 224224 181181 160172 164180 209209 
           DC19 , 170170 161181 220220 181193 164168 164184 221221 
            DC2 , 162174 161165 220224 181193 172176 164184 221221 
           DC20 , 170170 161169 224232 181181 168176 172180 209221 
           DC21 , 170170 161161 220220 181193 160172 180188 221221 
           DC22 , 170170 161161 220220 181193 160172 164176 221221 
           DC23 , 170170 161165 220220 181193 168176 164184 209221 
           DC24 , 170170 000000 220232 181181 172172 176180 209209 
           DC25 , 170170 161161 220232 181193 168172 188188 221221 
           DC26 , 170170 161161 220220 181181 172172 180188 221221 
            DC3 , 162170 161161 220232 189193 164172 164164 221221 
            DC4 , 170170 161161 224224 181193 168176 180180 209221 
            DC5 , 170170 161169 224236 181189 160164 180184 209209 
            DC6 , 174174 161165 220220 181181 172176 164184 209221 
            DC7 , 170174 161169 220224 181181 168176 176188 209221 
            DC8 , 170174 161169 220224 181193 164176 164184 209221 
            DC9 , 170170 161161 220224 181181 160168 164180 209221 
           KRM1 , 170170 161169 220220 181181 168172 164184 209221 
           KRM2 , 170170 161161 220228 181193 164172 176184 209209 
           KRM3 , 170170 000000 220232 181193 160168 188188 221221 
           KRM4 , 170170 000000 224232 181181 160160 180188 209209 
           KRM5 , 162174 000000 220224 193193 164176 164184 221221 
           KRM6 , 170174 161181 220220 181193 176176 164176 221221 
           KRM7 , 170170 161181 220232 181193 160160 176188 209221 
           KRM8 , 170170 161161 220236 181193 164172 164188 209209 
